Name,Description,Price,Image
"Theobroma 72% Dark Chocolate Sticks, 75-count","There’sneverbeenamoresophisticatedwaytogiveyourselfanimpromptutreat,thankstothesebite-sized72%cacaochocolatesticks.These10g(0.35oz.)piecesareperfectforcoffeeshops,restaurants,receptionareasorforthatlittleself-indulgence.Features:OrganiccertifiedFairtradecertifiedNonGMOGlutenfreeVegan",44.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=1293832-894&recipeName=470
"Theobroma 60% Dark Chocolate Sticks with Raspberry, 75-count","Adelectablecombo:aburstoffruityflavourwiththedeliciouscrunchoffinechocolate!Realraspberrypiecesaddawholenewdimensiontothechocolate–you’llloveit!These10g(0.35oz.)piecesareperfectforcoffeeshops,restaurants,receptionareasorforthatlittleself-indulgence.Features:OrganiccertifiedFairtradecertifiedNonGMOGlutenfreeVegan",44.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=1293831-894&recipeName=470
Maple Terroir – Pure Maple Syrup & Sea Salt Milk Chocolate,"MapleTerroirhascreatedabalanceofseasaltandpuremaplesyrupblendedintohighqualitymilkchocolate,creatingamildsweettastewithatouchofmapleflavor.Thischocolatewillmeltinyourmouthleavingalightcoatofseasaltonyourtongue.Uniquecombination.Features:6x150g(5.3oz.)boxes900g(31.7oz.)ofchocolatesintotal0gtransfat20piecesofindividuallywrappedchocolatesineachboxMadeinCanada",49.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=4480010-894&recipeName=470
White Icewine Truffle Dark Chocolate,"2%ofCanadianVidalwhiteIcewineisblendedwithhighqualityBelgiandarkchocolate.Uniquecombinationofmildsweetnesswithalighttasteoficewine.Nottoosweet,nottoostrong.Features:6x210g(7.4oz.)boxes0gtransfat30piecesofindividuallywrappedchocolatesineachboxMadeinCanada1.26kg",64.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=4480011-894&recipeName=470
Infusions by Charlie and Sam’s Chocolate Tea Covered Almonds Tin Set,"Experiencechocolatetreatssonew,excitinganddelicious—nonGMOdarkandmilkchocolatetoffeealmondsinfusedwithMatchaGreenTeaorRooibosRedTea!EachcrunchyorganicalmondisenrobedintoffeeandqualityvelvetychocolateandthentripleinfusedwithhighgradeOrganicMatchaorOrganicRooibosproducingaproductthathasadelightfulteagreenteacolourorredteacolour.Thetastingprofileissubtleyetuniqueteaflavour–somethingquiteextraordinaryandnottobemissed.Youdon’tneedtobeatealovertolovethischocolateconfection!Beautifullydesignedtinscomeinamatchinggiftbox—perfectforhomeandofficegiftsaswellasanyonewhoenjoysteaorsweets!Features:NonGMOIngredientsOrganicAlmondsOrganicHighGradeTea",36.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=1205002-894&recipeName=470
Infusions by Charlie and Sam’s Tea Infused Chocolate Toffee Almonds - 5-pack,"Experiencechocolatetreatssonew,excitinganddelicious—nonGMOdarkandmilkchocolatetoffeealmondsinfusedwithMatchaGreenTeaorRooibosRedTea!EachcrunchyorganicalmondisenrobedintoffeeandqualityvelvetychocolateandthentripleinfusedwithhighgradeOrganicMatchaorOrganicRooibosproducingaproductthathasadelightfulteagreenteacolourorredteacolour.Thetastingprofileissubtleyetuniqueteaflavour–somethingquiteextraordinaryandnottobemissed.Youdon’tneedtobeatealovertolovethischocolateconfection!Features:NonGMOIngredientsOrganicAlmondsOrganicHighGradeTea",34.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=1205005-894&recipeName=470
Charlie & Sam’s Chocolate Basket,"Charlie&Sam’sisbackwithbeautifulbrandnewupscalepackaginginthisexclusivelargesizebasketoverflowingwithexquisitetreats.Indulgentflavoursincludebutterycashewsinrichmilkchocolate,caramelpopcornfullydrenchedindarkchocolate,InfusionsbyCharlie&Sam’sdarkandmilkchocolateteainfusedtoffeealmondsandsomanymoremouthwateringanddelicioussnacks.Atrulysublimeandoneofakindtastesensation.Nottobemissed!Asuperbgiftforthehomeoroffice.Don’tmissoutonthistrulypremiumgiftatvaluepricing.Features:Charlie&Sam’sdarkchocolatecaramelpopcorn–160g(5.6oz.)Charlie&Sam’smilkchocolatecaramels–100g(3.5oz.)Charlie&Sam’sdarkchocolateraspberrybites-100g(3.5oz.)Charlie&Sam’sNutoriouscaramelpopcornwithpecansandalmonds–140g(4.9oz.)Charlie&Sam’sdarkchocolateandpeanutbuttercoveredpretzels–150g(5.3oz.)InfusionsbyCharlie&Sam’sdarkchocolatetoffeealmondmatchaandmilkchocolatetoffeealmondrooibos–120g(4.2oz.)Charlie&Sam’striplepassioncookies–50g(1.8oz.)Charlie&Sam’schocolatechipcookies–50g(1.8oz.)Charlie&Sam’smilkchocolatecashews–57g(2oz.)Charlie&Sam’sGrandcrantrio(milk,dark,yogurtcoveredcranberries)–100g(3.5oz.)",59.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=6622431-894&recipeName=470
"Swiss Delice Petits Suisses, Milk Chocolate, 1,5 kg (3.3 lb), 2-pack",ThisitemmaycurrentlybeinstockatyourlocalCostcowarehouseforimmediatepurchaseatacashandcarryprice.Swissmilkchocolatesquares5.5g(0.19oz)piecesMadeinSwitzerland,31.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=2102290-894&recipeName=470
"Yupik Organic Choco Bites with Quinoa and Chia, 3-pack","ChocoBitesarehealthysnacksmadeofnutritiousingredients:macapowder,cocoa,puffedquinoaandchiaseeds.Withtheirconvenientpocketsize,theycanbeeasilypackedinlunchboxesorbackpack.Theycanbeusedtomakedecadentdesserts,orasanappetizingtoppingovergranolaorcereal.Features:Goodsourceoffibre,andironRichinantioxidantsandomega-3sCertifiedorganicCertifiedkosher",79.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=1267237-894&recipeName=470
"M&M's, Peanut, 1.58 kg (3.48 lb), 2 Pack",ThisitemmaycurrentlybeinstockatyourlocalCostcowarehouseforimmediatepurchaseatacashandcarryprice.MadewithRoastedPeanutsandRealMilkChocolateResealableParty-sizeBag2x1.58kg(3.48lb),32.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=2145965-894&recipeName=470
